,Color,Fabric,Id,Padding,Price,Rating,Style,StyleOutput,Preference,fileImages,linksPages
0,charcoal and mint,"nylon, spandex, and polyester",1173,slight pushup,$54 ,4.0,demi bra,demi,default,ATU_Charcoal.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/across-the-universe/1173
1,black,"nylon, spandex, and polyester",2475,lightly lined cup,$64 ,4.0,full coverage bra,full,default,Bezier_Christy_LaceContourPlusBra_Black.jpg,https://trueandco.com/bras/bezier/christy/2475
2,nude and poppy,nylon and spandex,1178,unlined cup,$48 ,4.0,full coverage plunge bra,full,default,NudeSexyBraDONE.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/made-of-stars/1178
3,seaport,nylon and spandex,1985,unlined cup,$48 ,4.0,full coverage plunge bra,full,default,MOS_Seaport.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/made-of-stars/1985
4,charcoal and mint,nylon and spandex,1177,unlined cup,$48 ,4.0,full coverage plunge bra,full,default,Made-of-Stars_charcoal.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/made-of-stars/1177
5,black,"nylon, spandex, and polyester",2484,slight pushup,$64 ,4.0,demi bra,demi,default,Bezier_HighLine_LacePushupBra_Black.jpg,https://trueandco.com/bras/bezier/high-line/2484
6,nude,stretch nylon,112,lightly lined cup,$62 ,4.0,demi bra,demi,default,Spanx_brallelujah_216_Nude.jpg,https://trueandco.com/bras/spanx/brallelujah/112
7,black,stretch nylon,111,lightly lined cup,$62 ,5.0,demi bra,demi,default,Spanx_brallelujah_216_Black.jpg,https://trueandco.com/bras/spanx/brallelujah/111
8,black,nylon and spandex,200,lightly lined cup,$62 ,5.0,racerback bra,default,racerback,Spanx_Brallelujah_235_Black.jpg,https://trueandco.com/bras/spanx/brallelujah/200
9,black,"nylon, spandex, and polyester",2481,unlined cup,$64 ,5.0,balconette bra,balconette,default,Bezier_GramercyPlus_LaceBalconetteBra_Black_withcups.jpg,https://trueandco.com/bras/bezier/gramercy-plus/2481
10,seaport,"nylon, spandex, and polyester",1962,slight pushup,$54 ,5.0,demi bra,demi,default,ATU_Seaport.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/across-the-universe/1962
11,black,"nylon, spandex, and polyester",2478,unlined cup,$64 ,4.0,balconette bra,balconette,default,Bezier_Gramercy_LaceBalconetteBra_Black.jpg,https://trueandco.com/bras/bezier/gramercy/2478
12,black,"nylon, spandex, and polyester",2430,lightly lined cup,$64 ,,demi bra,demi,default,Bezier_Tribeca_LaceContourDemiBra_Black.jpg,https://trueandco.com/bras/bezier/tribeca/2430
13,black,"nylon, spandex, and polyester",2714,lightly lined cup,$64 ,5.0,plunge bra,plunge,default,Bezier_Verdi_LacePlungeBra_Black.jpg,https://trueandco.com/bras/bezier/verdi/2714
14,nude,"nylon, spandex, and polyester",1699,slight pushup,$54 ,4.0,demi bra,demi,default,AcrosstheUniverse_Bra_Nude.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/across-the-universe/1699
15,black,"nylon, spandex, and polyester",1692,slight pushup,$54 ,4.0,demi bra,demi,default,Across_the_Universe_Black_recolor.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/across-the-universe/1692
16,vanilla,"polyester, spandex and nylon",7,unlined cup,$45 ,4.0,full coverage,full,default,FelinaMarielle110789VNLWhite.jpg,https://trueandco.com/bras/felina/marielle/7
17,black,nylon and spandex,1693,unlined cup,$48 ,4.0,full coverage plunge bra,full,default,Made_of_Stars_black_recolor.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/made-of-stars/1693
18,black,"polyester, spandex and nylon",6,unlined cup,$45 ,4.0,full coverage,full,default,_FelinaMarielle60274BlackLace.jpg,https://trueandco.com/bras/felina/marielle/6
19,chevron print,"polyamide, spandex, polyester",2696,lightly lined cup,$44 ,4.0,wirefree bra,default,wirefree,Uniform_ConvertibleWirefree_Chevron1.jpg,https://trueandco.com/bras/uniform/convertible-wirefree/2696
20,black,nylon and spandex,508,unlined cup,$45 ,5.0,demi bra,demi,default,Montelle_Coquette_Bra_Black_v2.jpg,https://trueandco.com/bras/montelle/coquette/508
21,nude,nylon and spandex,1637,lightly lined cup,$62 ,5.0,racerback bra,default,racerback,SpanxRacerBackBraNude.jpg,https://trueandco.com/bras/spanx/brallelujah/1637
22,nude,nylon and spandex,511,unlined cup,$45 ,5.0,demi bra,demi,default,Montelle_Coquette_Bra_Nude_v2.jpg,https://trueandco.com/bras/montelle/coquette/511
23,black,nylon and spandex,3244,lightly lined cup,$52 ,,full coverage bra,full,default,PlusSizeBra_Black.jpg,https://trueandco.com/bras/montelle/pure-plus-smooth/3244
24,black,"nylon, spandex",3140,lightly lined cup,$46 ,4.0,lined demi,demi,default,Wacoal_BodybyWacoalT-Back_Bra_Black.jpg,https://trueandco.com/bras/wacoal/body-by-wacoal-t-back/3140
25,nude,nylon and spandex,3245,lightly lined cup,$52 ,4.0,full coverage bra,full,default,PlusSizeBra_Nude.jpg,https://trueandco.com/bras/montelle/pure-plus-smooth/3245
26,black,"nylon, rayon, and spandex",1932,unlined cup,$58 ,4.0,racerback bralette,default,racerback,Eberjey_Colette_black_recolor.jpg,https://trueandco.com/bras/eberjey/colette/1932
27,nude and poppy,"nylon, spandex, and polyester",1174,slight pushup,$48 ,4.0,demi bra,demi,default,NudeStructuredTCbraNEW2.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/across-the-universe/1174
28,black,nylon and spandex,1703,unlined cup,$48 ,5.0,longline bra,default,longline,Josie_Bardot_66834_BlackLongline_Bra.jpg,https://trueandco.com/bras/josie/bardot/1703
29,black,"nylon, spandex, and polyester",3190,lightly lined cup,$68 ,,longline bra,default,longline,Bezier_Abingdon_LaceLonglineBra_Black.jpg,https://trueandco.com/bras/bezier/abingdon/3190
30,black,"nylon, spandex, and polyester",2709,unlined cup,$58 ,,demi bralette,demi,default,Bezier_Bryant_Bralette_Black.jpg,https://trueandco.com/bras/bezier/bryant/2709
31,black,"nylon, spandex, and polyester",1176,slight pushup,$56 ,4.0,longline demi bra,demi,longline,We-Are-Voodoo_black.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/we-were-voodoo/1176
32,black/cerise,nylon and spandex,1961,slight pushup,$54 ,5.0,demi cup slight pushup bra,demi,default,SWIBL_AcrossTheUniverse_BlackCerise.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/across-the-universe/1961
33,black,"nylon, spandex, and polyester",961,lightly lined cup,$44 ,4.0,convertible strapless bra,default,strapless,TCStraplessBlack.jpg,https://trueandco.com/bras/day-to-night/night-no-13-strapless/961
34,black/cerise,nylon and spandex,1965,unlined cup,$48 ,5.0,demi bra,demi,default,SWIBL_Walkingonthemoon_BlackCerise_Recolor.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/walking-on-the-moon/1965
35,charcoal and mint,"nylon, spandex, and polyester",1175,slight pushup,$56 ,5.0,longline demi bra,demi,longline,We_Are_Voodoo_charcoal.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/we-were-voodoo/1175
36,black,nylon and spandex,1270,unlined cup,$48 ,4.0,demi bra,demi,default,WOTM_Black.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/walking-on-the-moon/1270
37,nude,"nylon, spandex, and polyester",962,lightly lined cup,$44 ,4.0,convertible strapless bra,default,strapless,TRUE_Strapless_TR006_Nude2AGAIN.jpg,https://trueandco.com/bras/day-to-night/night-no-13-strapless/962
38,black,nylon and spandex,1635,lightly lined cup,$68 ,5.0,plunge bra,plunge,default,NatoriFeathersPlungeBlack.jpg,https://trueandco.com/bras/natori/feathers/1635
39,smoke,nylon and spandex,1553,lightly lined cup,$42 ,4.0,demi bra,demi,default,CK_Icon_DemiBra_Smoke-Recolor.jpg,https://trueandco.com/bras/calvin-klein/icon/1553
40,gray/black,polyester and spandex,1701,lightly lined cup,$64 ,4.0,encapsulation sports bra,full,sports,Natori_PowerYogi_SportsBra_Gray.jpg,https://trueandco.com/bras/natori/power-yogi/1701
41,black/cerise,"nylon, spandex, and polyester",2724,lightly lined cup,$56 ,,longline demi bra,demi,longline,SWIBL_Stardust_BlackCerise.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/stardust/2724
42,suzy snow,"nylon, spandex, and rayon",432,lightly lined cup,$48 ,5.0,demi,demi,default,BetsyJohnsonWhiteNudePinkLaceBraCOMPLETE.jpg,https://trueandco.com/bras/betsey-johnson/eyelet-lace/432
43,black,nylon and spandex,1551,lightly lined cup,$42 ,4.0,demi bra,demi,default,CKBraBlack.jpg,https://trueandco.com/bras/calvin-klein/icon/1551
44,nude,nylon and spandex,438,lightly lined cup,$68 ,5.0,plunge,plunge,default,Natori_Feathers_PlungeBra_Nude.jpg,https://trueandco.com/bras/natori/feathers/438
45,nude and poppy,nylon and spandex,1271,unlined cup,$48 ,4.0,demi bra,demi,default,WOTM_Nude.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/walking-on-the-moon/1271
46,black,nylon and spandex,712,lightly lined cup,$45 ,4.0,racerback bra,default,racerback,CK_Perfectly_Fit_F2564_Black.jpg,https://trueandco.com/bras/calvin-klein/perfectly-fit-racerback/712
47,gray/lavender,"polyester, nylon and spandex",1183,lightly lined cup,$68 ,4.0,encapsulation sports bra with underwire,full,sports,PanacheSport_5021_GreyLavender.jpg,https://trueandco.com/bras/panache/panache-sport/1183
48,black/cerise,nylon and spandex,1959,lightly lined cup,$56 ,4.0,full coverage bra,full,default,SWIBL_ASpaceGirlsDream_Bra_PerforatedBlack-Details.jpg,https://trueandco.com/bras/she-walks-in-beauty-light/a-space-girl-s-dream/1959
49,dune,nylon and spandex,713,lightly lined cup,$45 ,4.0,racerback bra,default,racerback,CK_Perfectly_Fit_F2564_Nude.jpg,https://trueandco.com/bras/calvin-klein/perfectly-fit-racerback/713
50,black,nylon and spandex,517,lightly lined cup,$52 ,4.0,full coverage,full,default,TCPurePlus30336Black.jpg,https://trueandco.com/bras/montelle/pure-plus/517
