Color,Fabric,Id,Padding,Price,Rating,Style,StyleOutput,Preference
charcoal and mint,"nylon, spandex, and polyester",1173,slight pushup,$54 ,4,demi bra,demi ,default
black,"nylon, spandex, and polyester",2475,lightly lined cup,$64 ,4,"full coverage bra
",full ,default
nude and poppy,nylon and spandex,1178,unlined cup,$48 ,4,full coverage plunge bra,full ,default
seaport,nylon and spandex,1985,unlined cup,$48 ,4,full coverage plunge bra,full ,default
charcoal and mint,nylon and spandex,1177,unlined cup,$48 ,4,full coverage plunge bra,full ,default
black,"nylon, spandex, and polyester",2484,slight pushup,$64 ,4,demi bra,demi ,default
nude,stretch nylon,112,lightly lined cup,$62 ,4,demi bra,demi ,default
black,stretch nylon,111,lightly lined cup,$62 ,5,demi bra,demi ,default
black,nylon and spandex,200,lightly lined cup,$62 ,5,racerback bra,default,racerback 
black,"nylon, spandex, and polyester",2481,unlined cup,$64 ,5,balconette bra,balconette ,default
seaport,"nylon, spandex, and polyester",1962,slight pushup,$54 ,5,demi bra,demi ,default
black,"nylon, spandex, and polyester",2478,unlined cup,$64 ,4,balconette bra,balconette ,default
black,"nylon, spandex, and polyester",2430,lightly lined cup,$64 ,,demi bra,demi ,default
black,"nylon, spandex, and polyester",2714,lightly lined cup,$64 ,5,plunge bra,plunge ,default
nude,"nylon, spandex, and polyester",1699,slight pushup,$54 ,4,demi bra,demi ,default
black,"nylon, spandex, and polyester",1692,slight pushup,$54 ,4,demi bra,demi ,default
vanilla,"polyester, spandex and nylon",7,unlined cup,$45 ,4,full coverage,full ,default
black,nylon and spandex,1693,unlined cup,$48 ,4,full coverage plunge bra,full ,default
black,"polyester, spandex and nylon",6,unlined cup,$45 ,4,full coverage,full ,default
chevron print,"polyamide, spandex, polyester",2696,lightly lined cup,$44 ,4,wirefree bra,default,wirefree
black,nylon and spandex,508,unlined cup,$45 ,5,demi bra,demi ,default
nude,nylon and spandex,1637,lightly lined cup,$62 ,5,racerback bra,default,racerback 
nude,nylon and spandex,511,unlined cup,$45 ,5,demi bra,demi ,default
black,nylon and spandex,3244,lightly lined cup,$52 ,,full coverage bra,full ,default
black,"nylon, spandex",3140,lightly lined cup,$46 ,4,lined demi,demi,default
nude,nylon and spandex,3245,lightly lined cup,$52 ,4,full coverage bra,full ,default
black,"nylon, rayon, and spandex",1932,unlined cup,$58 ,4,racerback bralette,default,racerback 
nude and poppy,"nylon, spandex, and polyester",1174,slight pushup,$48 ,4,demi bra,demi ,default
black,nylon and spandex,1703,unlined cup,$48 ,5,longline bra,default,longline
black,"nylon, spandex, and polyester",3190,lightly lined cup,$68 ,,longline bra,default,longline
black,"nylon, spandex, and polyester",2709,unlined cup,$58 ,,demi bralette,demi ,default
black,"nylon, spandex, and polyester",1176,slight pushup,$56 ,4,longline demi bra,demi,longline
black/cerise,nylon and spandex,1961,slight pushup,$54 ,5,demi cup slight pushup bra,demi ,default
black,"nylon, spandex, and polyester",961,lightly lined cup,$44 ,4,convertible strapless bra,default,strapless
black/cerise,nylon and spandex,1965,unlined cup,$48 ,5,demi bra,demi ,default
charcoal and mint,"nylon, spandex, and polyester",1175,slight pushup,$56 ,5,longline demi bra,demi,longline
black,nylon and spandex,1270,unlined cup,$48 ,4,demi bra,demi ,default
nude,"nylon, spandex, and polyester",962,lightly lined cup,$44 ,4,convertible strapless bra,default,strapless
black,nylon and spandex,1635,lightly lined cup,$68 ,5,plunge bra,plunge ,default
smoke,nylon and spandex,1553,lightly lined cup,$42 ,4,demi bra,demi ,default
gray/black,polyester and spandex,1701,lightly lined cup,$64 ,4,encapsulation sports bra,full ,sports
black/cerise,"nylon, spandex, and polyester",2724,lightly lined cup,$56 ,,longline demi bra,demi,longline
suzy snow,"nylon, spandex, and rayon",432,lightly lined cup,$48 ,5,demi,demi,default
black,nylon and spandex,1551,lightly lined cup,$42 ,4,demi bra,demi ,default
nude,nylon and spandex,438,lightly lined cup,$68 ,5,plunge,plunge ,default
nude and poppy,nylon and spandex,1271,unlined cup,$48 ,4,demi bra,demi ,default
black,nylon and spandex,712,lightly lined cup,$45 ,4,racerback bra,default,racerback 
gray/lavender,"polyester, nylon and spandex",1183,lightly lined cup,$68 ,4,encapsulation sports bra with underwire,full ,sports
black/cerise,nylon and spandex,1959,lightly lined cup,$56 ,4,full coverage bra,full ,default
dune,nylon and spandex,713,lightly lined cup,$45 ,4,racerback bra,default,racerback 
black,nylon and spandex,517,lightly lined cup,$52 ,4,full coverage,full ,default
black,nylon and spandex,716,slight pushup,$45 ,4,demi,demi,default
dune,nylon and spandex,718,slight pushup,$45 ,4,demi,demi,default
nude,nylon and spandex,519,lightly lined cup,$52 ,4,full coverage,full ,default
cocoa,nylon and spandex,1451,lightly lined cup,$68 ,5,full coverage bra,full ,default
black,nylon and lycra,714,lightly lined cup,$45 ,4,wireless demi,default,wirefree
black,"nylon, polyester, and spandex",529,lightly lined cup,$45 ,4,demi bra,demi ,default
gun metal,nylon and spandex,445,lightly lined cup,$68 ,5,full coverage,full ,default
black,nylon and spandex,50,lightly lined cup,$64 ,5,demi bra,demi ,default
black,"polyester, nylon, polyurethane, and spandex",1660,unlined cup,$69 ,5,encapsulation sports bra,full ,sports
dune,nylon and lycra,715,lightly lined cup,$45 ,4,wireless demi,default,wirefree
black,"polyester, spandex",3143,lightly lined cup,$56 ,4,"lined, contour demi",demi,default
naturally nude,"nylon, spandex, polyester",3148,lightly lined cup,$60 ,4,multiway,default,mutiway
nude,nylon and spandex,446,lightly lined cup,$68 ,5,full coverage,full ,default
bare,nylon and spandex,1552,lightly lined cup,$42 ,4,demi bra    ,demi ,default
